DateTime,Open,Close,High,Low
2020-06-02,2467,2472.41,2473.53,2445.31
2020-06-03,2468.01,2478.4,2488,2461.17
2020-06-04,2477.43,2460.6,2507.54,2450.01
2020-06-05,2444.51,2483,2488.645,2437.13
2020-06-08,2500.2,2524.06,2530,2487.335
2020-06-09,2529.44,2600.86,2626.43,2525
2020-06-10,2645,2647.45,2722.35,2626.26
2020-06-11,2603.5,2557.96,2671.38,2536.23
2020-06-12,2601.21,2545.02,2621.4766,2503.35
2020-06-15,2526.6,2572.68,2584,2508.0001
2020-06-16,2620,2615.27,2620,2576
2020-06-17,2647.5,2640.98,2655,2631.82
2020-06-18,2647.01,2653.98,2659.64,2636.11
2020-06-19,2678.08,2675.01,2697.43,2659
2020-06-22,2684.5,2713.82,2715,2669
2020-06-23,2726.02,2764.41,2783.11,2718.04
2020-06-24,2780,2734.4,2796,2721
2020-06-25,2739.55,2754.58,2756.23,2712.14
2020-06-26,2775.056,2692.87,2782.5688,2688
2020-06-29,2690.01,2680.38,2696.8,2630.08
2020-06-30,2685.065,2758.82,2769.63,2675.03
2020-07-01,2757.99,2878.7,2895,2754
2020-07-02,2912.01,2890.3,2955.56,2871.1021
2020-07-06,2934.97,3057.04,3059.88,2930
2020-07-07,3058.55,3000.12,3069.55,2990
2020-07-08,3022.61,3081.11,3083.97,3012.4301
2020-07-09,3115.99,3182.63,3193.8799,3074.0016
2020-07-10,3191.76,3200,3215,3135.7
2020-07-13,3251.06,3104,3344.29,3068.3901
2020-07-14,3089,3084,3127.38,2950
2020-07-15,3080,3008.87,3098.35,2973.1801
2020-07-16,2971.06,2999.9,3032,2918.23
2020-07-17,3009,2961.97,3024,2948.45
2020-07-20,3000.2,3196.84,3201.3599,2994.0172
2020-07-21,3232.49,3138.29,3240.5758,3105.72
2020-07-22,3125,3099.91,3149.9999,3065.26
2020-07-23,3098.2713,2986.55,3098.2713,2970
2020-07-24,2930,3008.91,3031.58,2888
2020-07-27,3062,3055.21,3098,3015.77
2020-07-28,3054.27,3000.33,3077.0926,2995.76
2020-07-29,3030.99,3033.53,3039.1592,2996.77
2020-07-30,3014,3051.88,3092,3005
2020-07-31,3244,3164.68,3246.82,3151
2020-08-03,3180.51,3111.89,3184,3104
2020-08-04,3101.21,3138.83,3167.24,3101.21
2020-08-05,3143.77,3205.03,3213.5859,3127.3
2020-08-06,3194.36,3225,3247.47,3165.43
2020-08-07,3224.01,3167.46,3240.81,3140.6726
2020-08-10,3170.31,3148.16,3172.51,3101.52
2020-08-11,3113.2,3080.67,3159.22,3073
2020-08-12,3108,3162.24,3174.385,3101.42
2020-08-13,3182.99,3161.02,3217.5211,3155
2020-08-14,3178.18,3148.02,3178.2357,3120
2020-08-17,3173.12,3182.41,3194.97,3154.1775
2020-08-18,3212,3312.49,3320,3205.8187
2020-08-19,3303.01,3260.48,3315.9,3256.0001
2020-08-20,3252,3297.37,3312.62,3238
2020-08-21,3295,3284.72,3314.3962,3275.39
2020-08-24,3310.15,3307.46,3380.315,3257.5608
2020-08-25,3294.99,3346.49,3357.4,3267
2020-08-26,3351.11,3441.85,3451.7387,3344.5675
2020-08-27,3450.05,3400,3453,3378
2020-08-28,3423,3401.8,3433.3699,3386.5
2020-08-31,3408.99,3450.96,3495,3405
2020-09-01,3489.58,3499.12,3513.87,3467
2020-09-02,3547,3531.45,3552.25,3486.685
2020-09-03,3485,3368,3488.41,3303
2020-09-04,3318,3294.62,3381.5,3111.13
2020-09-08,3144,3149.84,3250.845,3130
2020-09-09,3202.99,3268.61,3303.175,3185
2020-09-10,3307.2188,3175.11,3349.89,3170.55
2020-09-11,3208.69,3116.22,3217.3409,3083.98
2020-09-14,3172.9372,3102.97,3187.39,3096
2020-09-15,3136.16,3156.13,3175.02,3108.92
2020-09-16,3179.99,3078.1,3187.238,3074.15
2020-09-17,3009.25,3008.73,3029.432,2972.55
2020-09-18,3031.74,2954.91,3037.8,2905.54
2020-09-21,2906.5,2960.47,2962,2871
2020-09-22,3033.835,3128.99,3133.99,3000.2
2020-09-23,3120.43,2999.86,3126.999,2992.3759
2020-09-24,2977.79,3019.79,3069.3,2965
2020-09-25,3054.86,3095.13,3101.54,2999
2020-09-28,3148.85,3174.05,3175.04,3117.1684
2020-09-29,3175.39,3144.88,3188.26,3132.54
2020-09-30,3141.14,3148.73,3212.88,3133.99
2020-10-01,3208,3221.26,3224,3172
2020-10-02,3153.63,3125,3195.7965,3123
2020-10-05,3145.84,3199.2,3202.53,3140.85
2020-10-06,3165,3099.96,3182,3090
2020-10-07,3135,3195.69,3200,3132.385
2020-10-08,3224.99,3190.55,3233.2944,3174.99
2020-10-09,3210,3286.65,3288.99,3197.83
2020-10-12,3349.94,3442.93,3496.24,3339.55
2020-10-13,3467.99,3443.63,3492.38,3424.217
2020-10-14,3447,3363.71,3464.88,3340
2020-10-15,3292.01,3338.65,3355.88,3280
2020-10-16,3363.23,3272.71,3399.6606,3160
2020-10-19,3299.61,3207.21,3329,3192.735
2020-10-20,3222.28,3217.01,3266,3192.01
2020-10-21,3212.5,3184.94,3233.875,3160
2020-10-22,3189.87,3176.4,3198.75,3121.94
2020-10-23,3191,3204.4,3205.33,3140
2020-10-26,3198.74,3209.23,3282.9799,3153.3
2020-10-27,3224.94,3286.33,3291.66,3211.3
2020-10-28,3249.3,3162.78,3264.02,3162.47
2020-10-29,3201.27,3211.01,3257.25,3164
2020-10-30,3157.75,3036.15,3167.004,3019
2020-11-02,3061.74,3004.48,3079.705,2950.12
2020-11-03,3018.53,3048.41,3074.9,2980.98
2020-11-04,3159.99,3241.16,3244.85,3139.73
2020-11-05,3319.97,3322,3366.8,3288.88
2020-11-06,3304.64,3311.37,3322,3232
2020-11-09,3231.03,3143.74,3289,3112.1057
2020-11-10,3095.02,3035.02,3114,3019.4828
2020-11-11,3061.78,3137.39,3139.145,3050
2020-11-12,3159.95,3110.28,3175.88,3086.05
2020-11-13,3122,3128.81,3141.7227,3085.39
2020-11-16,3093.2,3131.06,3142.7,3072.685
2020-11-17,3183.5445,3135.66,3189.25,3135.26
2020-11-18,3134,3105.46,3140,3105.1
2020-11-19,3105.31,3117.02,3125,3080.92
2020-11-20,3117.02,3099.4,3132.89,3098.0456
2020-11-23,3116.6986,3098.39,3139.745,3065.46
2020-11-24,3100.5,3118.06,3134.25,3086.258
2020-11-25,3141.87,3185.07,3198,3140.26
2020-11-27,3211.26,3195.34,3216.19,3190.05
2020-11-30,3208.48,3168.04,3228.39,3125.55
2020-12-01,3188.5,3220.08,3248.95,3157.18
2020-12-02,3221.65,3203.53,3232,3173.2601
2020-12-03,3205.46,3186.73,3228.64,3181.31
2020-12-04,3198.21,3162.58,3198.21,3158.76
2020-12-07,3156.48,3158,3180.76,3141.69
2020-12-08,3158.9,3177.29,3184.13,3120.02
2020-12-09,3167.89,3104.2,3174.43,3088
2020-12-10,3088.99,3101.49,3142.1,3076
2020-12-11,3096.66,3116.42,3118.67,3072.82
2020-12-14,3143,3156.97,3190.47,3126
2020-12-15,3181.01,3165.12,3188.4999,3130.49
2020-12-16,3176.01,3240.96,3247,3163.68
2020-12-17,3250,3236.08,3263.51,3221
2020-12-18,3243.99,3201.65,3249.42,3171.6
2020-12-21,3200.01,3206.18,3226.9666,3166
2020-12-22,3202.8434,3206.52,3222,3180.08
2020-12-23,3205,3185.27,3210.13,3184.17
2020-12-24,3193.9,3172.69,3202,3169
2020-12-28,3194,3283.96,3304,3172.69
2020-12-29,3309.94,3322,3350.65,3281.223
2020-12-30,3341,3285.85,3342.1,3282.47
2020-12-31,3275,3256.93,3282.9219,3241.2
2021-01-04,3270,3186.63,3272,3144.02
2021-01-05,3166.01,3218.51,3223.38,3165.06
2021-01-06,3146.48,3138.38,3197.509,3131.16
2021-01-07,3157,3162.16,3208.542,3155
2021-01-08,3180,3182.7,3190.64,3142.2
2021-01-11,3148.01,3114.21,3156.3841,3110
2021-01-12,3120,3120.83,3142.1418,3086
